age,num_ooids,all_carbonate,carb_no_ooids,all_sediment,sed_no_ooids,all_dolomite,dol_no_ooids
195,5.0,2.0,1.0,43.0,46.0,0.0,0.0
196,5.0,2.0,1.0,43.0,46.0,0.0,0.0
197,5.0,2.0,1.0,44.0,47.0,0.0,0.0
198,5.0,2.0,1.0,44.0,46.0,0.0,0.0
199,5.0,2.0,1.0,48.0,51.0,0.0,0.0
200,4.0,0.0,0.0,38.0,40.0,0.0,0.0
201,4.0,1.0,1.0,51.0,53.0,0.0,0.0
202,2.0,1.0,1.0,40.0,43.0,0.0,0.0
203,4.0,3.0,1.0,47.0,48.0,1.0,0.0
204,4.0,3.0,1.0,44.0,44.0,1.0,0.0
205,3.0,3.0,1.0,43.0,44.0,1.0,0.0
206,3.0,3.0,1.0,53.0,54.0,1.0,0.0
207,3.0,3.0,1.0,52.0,53.0,1.0,0.0
208,4.0,7.0,4.0,59.0,59.0,1.0,0.0
209,3.0,7.0,4.0,54.0,55.0,1.0,0.0
210,3.0,7.0,4.0,54.0,55.0,1.0,0.0
211,3.0,8.0,5.0,56.0,56.0,1.0,0.0
212,3.0,8.0,5.0,55.0,55.0,1.0,0.0
213,6.0,16.0,10.0,70.0,68.0,2.0,1.0
214,5.0,14.0,9.0,64.0,63.0,2.0,1.0
215,5.0,14.0,9.0,63.0,62.0,2.0,1.0
216,5.0,14.0,9.0,63.0,62.0,2.0,1.0
217,5.0,14.0,9.0,63.0,62.0,2.0,1.0
218,5.0,14.0,9.0,63.0,62.0,2.0,1.0
219,5.0,14.0,9.0,63.0,62.0,2.0,1.0
220,5.0,14.0,9.0,63.0,62.0,2.0,1.0
221,5.0,14.0,9.0,63.0,62.0,2.0,1.0
222,6.0,16.0,11.0,69.0,69.0,3.0,2.0
223,6.0,11.0,6.0,59.0,59.0,3.0,2.0
224,6.0,11.0,6.0,59.0,58.0,3.0,2.0
225,6.0,11.0,6.0,59.0,58.0,3.0,2.0
226,6.0,11.0,6.0,59.0,58.0,3.0,2.0
227,6.0,13.0,8.0,67.0,66.0,4.0,3.0
228,6.0,15.0,10.0,64.0,63.0,4.0,3.0
229,6.0,18.0,13.0,69.0,67.0,5.0,4.0
230,5.0,16.0,12.0,59.0,58.0,4.0,3.0
231,5.0,13.0,9.0,55.0,54.0,3.0,2.0
232,5.0,12.0,8.0,54.0,53.0,2.0,1.0
233,5.0,12.0,8.0,55.0,54.0,2.0,1.0
234,5.0,14.0,10.0,63.0,63.0,2.0,1.0
235,5.0,12.0,8.0,55.0,55.0,1.0,0.0
236,5.0,11.0,7.0,54.0,53.0,1.0,0.0
237,5.0,13.0,9.0,59.0,60.0,2.0,1.0
238,6.0,10.0,6.0,53.0,54.0,2.0,1.0
239,4.0,8.0,6.0,44.0,44.0,2.0,1.0
240,4.0,8.0,6.0,47.0,47.0,2.0,1.0
241,4.0,6.0,4.0,41.0,40.0,2.0,1.0
242,4.0,6.0,4.0,42.0,41.0,2.0,1.0
243,4.0,6.0,4.0,45.0,43.0,2.0,1.0
244,4.0,5.0,3.0,42.0,39.0,2.0,1.0
245,6.0,5.0,3.0,47.0,42.0,2.0,1.0
246,6.0,5.0,3.0,45.0,40.0,2.0,1.0
247,9.0,8.0,4.0,54.0,46.0,4.0,2.0
248,9.0,10.0,6.0,51.0,44.0,6.0,4.0
249,7.0,9.0,6.0,45.0,40.0,6.0,4.0
250,7.0,8.0,5.0,43.0,38.0,5.0,3.0
251,10.0,12.0,7.0,53.0,46.0,7.0,3.0
252,4.0,10.0,8.0,37.0,35.0,6.0,4.0
253,5.0,12.0,9.0,41.0,38.0,8.0,5.0
254,5.0,14.0,11.0,42.0,39.0,8.0,5.0
255,5.0,14.0,11.0,40.0,37.0,8.0,5.0
256,6.0,14.0,11.0,42.0,38.0,8.0,5.0
257,5.0,13.0,11.0,39.0,36.0,7.0,5.0
258,5.0,13.0,11.0,39.0,36.0,7.0,5.0
259,6.0,16.0,13.0,44.0,40.0,8.0,5.0
260,6.0,16.0,13.0,45.0,42.0,8.0,5.0
261,9.0,20.0,15.0,56.0,50.0,12.0,7.0
262,13.0,23.0,14.0,63.0,53.0,12.0,7.0
263,11.0,25.0,16.0,64.0,56.0,12.0,7.0
264,11.0,26.0,17.0,70.0,62.0,13.0,8.0
265,11.0,23.0,14.0,59.0,51.0,11.0,6.0
266,12.0,24.0,14.0,61.0,53.0,11.0,6.0
267,12.0,23.0,13.0,62.0,54.0,11.0,6.0
268,14.0,27.0,16.0,69.0,59.0,13.0,7.0
269,17.0,31.0,17.0,84.0,70.0,13.0,7.0
270,15.0,28.0,16.0,75.0,63.0,10.0,6.0
271,12.0,23.0,14.0,72.0,63.0,8.0,5.0
